fam_id	annotation_id	annotation_fraction
347445	IPR000298	1
347445	IPR013833	1
347445	IPR024791	1
347448	IPR003763	1
347448	IPR011146	1
347450	IPR011990	1
347450	IPR013026	1
347450	IPR013105	1
347451	IPR001674	1
347451	IPR014729	1
347451	IPR025777	1
347456	IPR024361	1
347460	IPR025048	0.5
347462	IPR016181	1
347463	IPR003497	1
347466	IPR011991	1
347466	IPR013324	1
347466	IPR013325	1
347468	IPR007685	0.5
347475	IPR000014	0.333333333333333
347475	IPR000700	0.333333333333333
347475	IPR001610	0.333333333333333
347475	IPR003594	0.333333333333333
347475	IPR003661	0.333333333333333
347475	IPR004358	0.333333333333333
347475	IPR005467	0.333333333333333
347475	IPR009082	0.333333333333333
347475	IPR025847	0.333333333333333
347483	IPR008201	0.5
347484	IPR008930	1
347489	IPR007730	1
347492	IPR000121	1
347492	IPR002192	1
347492	IPR008279	1
347492	IPR010121	1
347492	IPR013815	1
347492	IPR013816	1
347492	IPR015813	1
347492	IPR018274	1
347494	IPR003265	1
347494	IPR003651	1
347494	IPR011257	1
347494	IPR023170	1
347495	IPR000943	0.5
347495	IPR001650	1
347495	IPR006935	1
347495	IPR011991	1
347495	IPR013324	1
347495	IPR014001	1
347498	IPR015879	0.666666666666667
347498	IPR017941	0.666666666666667
347500	IPR001164	0.6
347500	IPR003717	0.6
347500	IPR016027	0.6
347500	IPR022572	0.6
347501	IPR002560	0.666666666666667
347505	IPR000917	1
347505	IPR017849	0.666666666666667
347505	IPR017850	1
347506	IPR001315	1
347509	IPR022147	1
347512	IPR000728	0.333333333333333
347512	IPR010918	1
347512	IPR016188	0.333333333333333
347514	IPR001646	1
347516	IPR007197	0.5
347516	IPR013785	0.5
347517	IPR009363	1
347520	IPR022476	1
347525	IPR007569	0.333333333333333
347525	IPR011335	1
347528	IPR008867	1
347528	IPR013785	1
347529	IPR000182	0.5
347529	IPR003033	0.5
347529	IPR016181	1
347529	IPR024320	1
347529	IPR025559	0.5
347530	IPR001584	1
347530	IPR002622	0.5
347530	IPR009057	1
347530	IPR012337	1
347531	IPR023346	1
347533	IPR001353	1
347533	IPR022281	1
347536	IPR000330	1
347536	IPR001650	1
347536	IPR013783	1
347536	IPR014001	1
347538	IPR006638	0.5
347538	IPR007197	0.5
347538	IPR013785	0.5
347539	IPR001482	1
347539	IPR003004	0.5
347539	IPR018076	1
347543	IPR011701	1
347543	IPR016196	1
347549	IPR002740	0.875
347549	IPR003593	0.25
347549	IPR011704	1
347549	IPR015947	0.875
347550	IPR021109	0.5
347556	IPR006311	1
347557	IPR001702	1
347557	IPR013793	1
347557	IPR023614	1
347559	IPR007863	0.5
347559	IPR011237	1
347559	IPR011249	1
347563	IPR009241	1
347564	IPR010057	1
347566	IPR010982	1
347570	IPR005119	1
347572	IPR013099	0.5
347573	IPR000845	0.5
347574	IPR005068	1
347575	IPR009081	0.5
347576	IPR002525	1
347578	IPR018764	1
347579	IPR000573	1
347579	IPR001030	1
347579	IPR015928	1
347579	IPR015931	1
347579	IPR015934	1
347579	IPR015937	1
347579	IPR018136	0.5
347584	IPR018573	1
347588	IPR011051	1
347588	IPR013096	1
347588	IPR014710	1
347593	IPR007221	0.5
347594	IPR006027	1
347598	IPR003594	0.5
347599	IPR000160	1
347599	IPR001054	1
347599	IPR001633	1
347601	IPR004291	1
347601	IPR024474	1
347603	IPR000014	1
347603	IPR000700	1
347603	IPR001610	1
347603	IPR003594	1
347603	IPR005467	1
347603	IPR011712	1
347603	IPR013656	0.5
347606	IPR012310	1
347606	IPR012340	1
347606	IPR016027	1
347606	IPR016306	1
347610	IPR002931	0.333333333333333
347610	IPR016134	0.666666666666667
347610	IPR018247	0.333333333333333
347611	IPR021139	1
347612	IPR006699	1
347615	IPR001296	0.5
347616	IPR001480	1
347616	IPR009045	1
347616	IPR013230	1
347617	IPR025295	1
347618	IPR000728	1
347618	IPR010074	1
347618	IPR010918	1
347618	IPR016188	1
347620	IPR007831	0.333333333333333
347621	IPR000719	1
347621	IPR002290	1
347621	IPR008271	1
347621	IPR011009	1
347623	IPR000257	1
347625	IPR007690	0.166666666666667
347627	IPR025325	0.5
347629	IPR002110	1
347629	IPR020683	1
347631	IPR003346	1
347633	IPR001789	1
347633	IPR011006	1
347634	IPR003768	1
347636	IPR009061	1
347636	IPR010093	1
347636	IPR010982	0.25
347636	IPR011991	0.75
347639	IPR008979	0.666666666666667
347640	IPR000123	1
347640	IPR000477	1
347641	IPR000209	0.5
347641	IPR023828	0.5
347641	IPR023830	1
347645	IPR002376	0.5
347645	IPR005793	0.5
347645	IPR011034	0.5
347645	IPR015518	0.5
347648	IPR007921	1
347650	IPR000086	0.5
347650	IPR015797	0.5
347650	IPR020476	0.5
347650	IPR025109	1
347651	IPR001450	0.6
347651	IPR014603	0.2
347651	IPR017896	0.8
347651	IPR017900	0.8
347654	IPR001087	1
347654	IPR013830	1
347654	IPR013831	1
347660	IPR003961	0.75
347660	IPR011123	0.25
347660	IPR013783	0.75
347663	IPR000873	1
347663	IPR001387	1
347663	IPR010982	1
347663	IPR011051	1
347663	IPR013096	1
347663	IPR014710	1
347663	IPR020845	1
347663	IPR025110	1
347664	IPR009620	1
347667	IPR007801	0.5
347667	IPR013022	0.5
347673	IPR011527	1
347674	IPR025403	0.5
347677	IPR006033	1
347677	IPR006034	1
347677	IPR020827	1
347682	IPR000914	1
347682	IPR006311	1
347683	IPR007560	1
347683	IPR007829	1
347683	IPR011335	1
347683	IPR011856	1
347685	IPR007167	1
347685	IPR008988	1
347688	IPR011250	1
347688	IPR025665	0.25
347692	IPR024906	1
347695	IPR010221	0.666666666666667
347695	IPR011049	0.333333333333333
347695	IPR019960	1
347697	IPR016181	1
347702	IPR001387	0.333333333333333
347702	IPR010057	1
347702	IPR010982	1
347703	IPR008969	1
347703	IPR014766	1
347704	IPR009425	1
347705	IPR001440	1
347705	IPR011990	1
347705	IPR013026	1
347705	IPR013105	0.5
347705	IPR019734	1
347706	IPR006121	1
347707	IPR000772	0.5
347707	IPR002022	0.5
347707	IPR011050	0.5
347707	IPR012334	0.5
347707	IPR016093	0.5
347709	IPR000510	1
347710	IPR000182	1
347710	IPR016181	1
347710	IPR025870	1
347717	IPR000719	0.5
347717	IPR002290	0.5
347717	IPR008266	0.5
347717	IPR011009	0.5
347718	IPR001173	1
347723	IPR011600	1
347725	IPR013517	0.25
347729	IPR015421	1
347729	IPR015424	1
347730	IPR003961	1
347730	IPR005084	1
347730	IPR006584	1
347730	IPR008914	1
347730	IPR008979	1
347730	IPR011041	1
347730	IPR011042	1
347730	IPR012938	1
347730	IPR013783	1
347731	IPR009628	1
347734	IPR001316	0.4
347734	IPR009003	0.6
347734	IPR018114	0.4
347735	IPR006021	0.666666666666667
347735	IPR016071	0.666666666666667
347736	IPR010359	1
347740	IPR024399	1
347742	IPR003439	0.5
347742	IPR003593	0.5
347745	IPR001440	0.5
347745	IPR011990	1
347747	IPR001034	1
347747	IPR011991	1
347747	IPR013196	1
347747	IPR018356	0.5
347753	IPR011991	1
347754	IPR000595	1
347754	IPR014710	1
347754	IPR018490	1
347755	IPR007237	0.230769230769231
347755	IPR018499	0.0769230769230769
347756	IPR007039	0.125
347757	IPR000421	0.5
347757	IPR002037	0.5
347757	IPR008928	0.5
347757	IPR008979	0.5
347757	IPR012341	0.5
347757	IPR019834	0.5
347758	IPR001926	1
347759	IPR000259	1
347759	IPR008966	1
347759	IPR015303	1
347768	IPR012550	1
347771	IPR004820	1
347771	IPR014729	1
347774	IPR003343	1
347774	IPR008964	1
347774	IPR008979	1
347777	IPR005357	1
347777	IPR008651	1
347777	IPR010985	1
347777	IPR013321	1
347781	IPR003170	1
347781	IPR006094	1
347781	IPR011601	1
347781	IPR016166	1
347781	IPR016167	1
347781	IPR016169	1
347783	IPR025153	1
347787	IPR001119	0.166666666666667
347787	IPR005594	1
347787	IPR008635	1
347787	IPR008640	0.833333333333333
347787	IPR024973	0.666666666666667
347789	IPR025463	1
347791	IPR006710	1
347791	IPR008183	1
347791	IPR011013	1
347791	IPR014718	1
347791	IPR015443	1
347791	IPR018052	1
347791	IPR023296	1
347793	IPR001626	1
347793	IPR003439	1
347793	IPR003593	1
347793	IPR017871	0.5
347795	IPR007627	1
347795	IPR013325	1
347797	IPR000515	1
347798	IPR002196	1
347798	IPR023346	1
347798	IPR023347	1
347809	IPR003439	0.8
347811	IPR000524	1
347811	IPR011991	1
347812	IPR009057	1
347812	IPR018060	1
347812	IPR018062	1
347812	IPR020449	1
347814	IPR007695	1
347814	IPR016151	1
347820	IPR002826	1
347820	IPR009251	1
347824	IPR014030	1
347824	IPR016038	1
347824	IPR016039	1
347824	IPR020841	1
347825	IPR002376	1
347825	IPR005793	1
347825	IPR011034	1
347825	IPR015518	1
347825	IPR016040	0.2
347826	IPR021136	1
347827	IPR008009	0.7
347827	IPR013783	0.7
347827	IPR015919	0.7
347827	IPR019931	0.8
347827	IPR019948	0.8
347828	IPR016181	1
347829	IPR005158	1
347829	IPR011990	1
347830	IPR003812	1
347831	IPR011260	0.5
347831	IPR011991	0.5
347831	IPR013324	0.5
347834	IPR001952	1
347834	IPR017849	1
347834	IPR017850	1
347834	IPR018299	0.6
347835	IPR013325	0.333333333333333
347840	IPR001140	1
347840	IPR011527	1
347840	IPR017940	1
347843	IPR002575	1
347843	IPR011009	1
347845	IPR025364	0.333333333333333
347846	IPR011600	0.5
347846	IPR011646	0.5
347847	IPR001434	1
347847	IPR008456	0.833333333333333
347847	IPR008966	0.666666666666667
347847	IPR019931	0.166666666666667
347847	IPR019948	0.166666666666667
347848	IPR019226	1
347849	IPR006726	1
347852	IPR013113	1
347853	IPR004919	1
347855	IPR004378	1
347855	IPR012349	0.5
347856	IPR009045	1
347856	IPR013230	0.333333333333333
347857	IPR021147	1
347858	IPR021857	1
347859	IPR002589	1
347860	IPR018247	0.5
347861	IPR012340	0.2
347862	IPR000515	1
347863	IPR006626	0.5
347863	IPR011050	1
347863	IPR012334	1
347864	IPR010539	0.857142857142857
347872	IPR004044	0.333333333333333
347872	IPR004088	0.666666666666667
347872	IPR009019	0.666666666666667
347872	IPR010214	0.666666666666667
347872	IPR010995	1
347872	IPR015946	1
347873	IPR006047	1
347873	IPR013781	1
347873	IPR015902	1
347873	IPR017853	1
347873	IPR022567	0.25
347874	IPR023090	1
347879	IPR003694	1
347879	IPR004820	1
347879	IPR005123	1
347879	IPR006620	1
347879	IPR014729	1
347879	IPR022310	1
347881	IPR011990	0.5
347881	IPR013026	0.5
347881	IPR019734	0.5
347882	IPR003540	0.5
347882	IPR006528	0.5
347886	IPR003675	0.5
347888	IPR000330	1
347888	IPR001650	1
347888	IPR014001	1
347890	IPR002052	0.333333333333333
347893	IPR001915	1
347896	IPR003615	0.5
347896	IPR010902	1
347898	IPR003749	1
347898	IPR010035	1
347898	IPR012675	1
347898	IPR016155	1
347899	IPR001241	1
347899	IPR003594	1
347903	IPR025668	0.25
347905	IPR025338	0.666666666666667
347906	IPR006626	1
347906	IPR006633	1
347906	IPR007742	1
347906	IPR011050	1
347906	IPR012334	1
347906	IPR018466	1
347907	IPR009081	1
347908	IPR020546	1
347910	IPR006602	0.5
347910	IPR024654	0.5
347912	IPR009288	1
347912	IPR013024	1
347913	IPR003251	0.5
347913	IPR009078	0.5
347913	IPR012347	0.5
347915	IPR005119	1
347919	IPR000878	1
347919	IPR014776	1
347923	IPR005042	1
347923	IPR016038	0.333333333333333
347927	IPR006452	1
347927	IPR024064	1
347933	IPR000383	1
347933	IPR013736	1
347942	IPR000014	1
347942	IPR000700	0.5
347942	IPR001610	0.5
347942	IPR001932	1
347942	IPR002645	1
347942	IPR003018	1
347942	IPR003594	1
347942	IPR013655	1
347942	IPR013767	0.5
347943	IPR001173	1
347951	IPR002068	1
347951	IPR008978	1
347952	IPR008258	1
347952	IPR023346	1
347954	IPR011080	1
347954	IPR013378	1
347956	IPR010496	1
347957	IPR002649	0.666666666666667
347957	IPR016009	0.666666666666667
347957	IPR023148	0.666666666666667
347958	IPR007159	1
347959	IPR001001	1
347959	IPR022634	1
347959	IPR022637	1
347959	IPR024693	1
347960	IPR000453	0.333333333333333
347960	IPR001986	1
347960	IPR013792	1
347963	IPR011874	0.5
347966	IPR007253	1
347969	IPR024370	1
347972	IPR001451	1
347972	IPR011004	1
347972	IPR018357	1
347973	IPR018873	1
347974	IPR018337	1
347977	IPR012336	1
347980	IPR005269	0.666666666666667
347981	IPR003439	0.5
347981	IPR003593	0.25
347981	IPR011527	1
347981	IPR017871	0.5
347981	IPR017940	1
347984	IPR011042	0.666666666666667
347985	IPR009739	0.25
347986	IPR006171	0.5
347986	IPR013264	1
347988	IPR010767	0.5
347989	IPR005828	1
347989	IPR016196	1
347989	IPR020846	1
347991	IPR004193	1
347991	IPR006047	1
347991	IPR006048	1
347991	IPR006407	1
347991	IPR006589	0.5
347991	IPR013780	1
347991	IPR013781	1
347991	IPR013783	1
347991	IPR014756	1
347991	IPR015902	1
347991	IPR017853	1
347992	IPR006311	0.5
347992	IPR008999	0.5
347992	IPR011050	0.5
347995	IPR007419	0.5
347997	IPR000873	1
347997	IPR001227	0.333333333333333
347997	IPR009081	1
347997	IPR013968	1
347997	IPR014030	1
347997	IPR014031	1
347997	IPR014043	0.333333333333333
347997	IPR016035	0.333333333333333
347997	IPR016038	1
347997	IPR016039	1
347997	IPR016040	1
347997	IPR018201	1
347997	IPR020801	0.333333333333333
347997	IPR020806	1
347997	IPR020841	1
347997	IPR020842	1
347997	IPR020845	1
347997	IPR025110	0.333333333333333
347998	IPR011486	1
347999	IPR001296	1
347999	IPR004629	1
348000	IPR011991	0.25
348011	IPR007438	0.5
348012	IPR000014	1
348012	IPR000160	0.75
348012	IPR000700	1
348012	IPR001054	0.75
348012	IPR001610	1
348012	IPR013655	1
348015	IPR013728	1
348016	IPR006597	1
348016	IPR011990	1
348021	IPR002477	1
348026	IPR019260	1
348029	IPR003660	1
348033	IPR010432	1
348035	IPR000305	0.5
348035	IPR006054	1
348035	IPR006055	1
348035	IPR012337	1
348035	IPR013520	1
348037	IPR005114	0.5
348039	IPR016040	1
348040	IPR016134	1
348040	IPR018247	1
348041	IPR007337	1
348042	IPR003731	1
348043	IPR001604	1
348043	IPR018524	0.2
348043	IPR020821	1
348048	IPR013517	0.25
348048	IPR022045	0.5
348050	IPR025565	1
348059	IPR000182	1
348059	IPR009297	1
348059	IPR016181	1
348062	IPR002052	0.8
348062	IPR025247	1
348066	IPR002104	0.5
348066	IPR011010	0.5
348066	IPR013762	0.5
348067	IPR007863	1
348067	IPR011237	1
348067	IPR011249	1
348068	IPR004839	1
348068	IPR015421	1
348068	IPR015422	0.5
348068	IPR015424	1
348069	IPR002731	0.5
348069	IPR008275	0.5
348069	IPR021778	0.5
348071	IPR011990	1
348071	IPR019734	0.5
348074	IPR001451	1
348074	IPR011004	1
348079	IPR011083	1
348083	IPR000772	0.25
348083	IPR001000	0.25
348083	IPR001919	0.25
348083	IPR008965	0.25
348083	IPR012291	0.25
348083	IPR013781	0.25
348083	IPR017853	0.25
348083	IPR018366	0.25
348084	IPR004843	0.5
348084	IPR008963	1
348084	IPR015914	1
348085	IPR006992	1
348092	IPR004477	1
348092	IPR025405	0.666666666666667
348093	IPR001387	0.5
348093	IPR010982	1
348095	IPR025945	1
348096	IPR011056	1
348096	IPR015927	1
348096	IPR019756	0.5
348096	IPR019759	1
348100	IPR007362	1
348102	IPR002028	1
348102	IPR011060	1
348102	IPR013785	1
348105	IPR011990	1
348105	IPR019734	0.5
348106	IPR007387	0.5
348107	IPR021483	1
348109	IPR021401	0.5
348114	IPR021909	1
348117	IPR003367	1
348117	IPR006664	1
348117	IPR006665	1
348117	IPR006690	0.333333333333333
348120	IPR019292	1
348122	IPR025178	1
348123	IPR006342	0.5
348124	IPR011098	1
348125	IPR010985	1
348128	IPR012902	0.5
348135	IPR025408	1
348137	IPR001173	1
348139	IPR021365	1
348140	IPR000399	1
348140	IPR011766	1
348140	IPR012846	0.5
348142	IPR008930	0.5
348144	IPR025575	1
348146	IPR001478	1
348147	IPR002509	1
348147	IPR011330	1
348151	IPR001173	1
348151	IPR001732	1
348151	IPR008927	1
348151	IPR013328	1
348151	IPR014026	1
348151	IPR016040	1
348153	IPR021136	1
348155	IPR025945	1
348156	IPR000326	0.5
348156	IPR016118	0.5
348157	IPR002477	1
348157	IPR005490	1
348158	IPR004473	1
348158	IPR006935	1
348158	IPR007409	1
348158	IPR007569	1
348158	IPR011335	1
348158	IPR014001	1
348158	IPR021810	1
348159	IPR008619	0.111111111111111
348159	IPR008638	1
348159	IPR010069	0.777777777777778
348159	IPR011050	1
348159	IPR012334	1
348159	IPR024973	0.666666666666667
348159	IPR025157	1
348160	IPR004113	0.5
348160	IPR006094	0.75
348160	IPR016164	0.5
348160	IPR016166	0.75
348160	IPR016167	0.75
348160	IPR016168	0.75
348161	IPR016196	1
348162	IPR010982	1
348164	IPR010488	1
348168	IPR002696	1
348170	IPR009061	1
348170	IPR011991	1
348175	IPR003675	0.5
348178	IPR011990	1
348178	IPR013026	1
348178	IPR013105	1
348178	IPR019734	1
348179	IPR004154	1
348181	IPR014835	0.4
348183	IPR004487	0.5
348183	IPR010603	1
348184	IPR004039	0.5
348184	IPR024934	0.5
348184	IPR024935	0.5
348185	IPR011330	1
348186	IPR003343	1
348186	IPR008964	1
348189	IPR011990	1
348189	IPR013026	0.666666666666667
348189	IPR019734	0.666666666666667
348189	IPR024983	1
348193	IPR001375	1
348194	IPR010269	0.5
348198	IPR010921	1
348199	IPR006626	0.5
348199	IPR011050	1
348199	IPR012334	1
348204	IPR000064	1
348208	IPR011496	1
348208	IPR017853	1
348213	IPR006655	0.5
348213	IPR006657	1
348213	IPR009010	1
348216	IPR002505	1
348216	IPR012147	1
348218	IPR003477	0.947368421052632
348218	IPR011067	0.947368421052632
348220	IPR002543	1
348222	IPR025110	1
348224	IPR011050	1
348224	IPR013425	1
348227	IPR002901	1
348227	IPR013338	0.666666666666667
348230	IPR006558	1
348230	IPR006860	1
348230	IPR008985	1
348230	IPR013320	1
348231	IPR005911	0.7
348231	IPR006638	1
348231	IPR007197	0.9
348231	IPR013785	0.7
348231	IPR023404	0.3
348234	IPR014795	0.25
348236	IPR000397	1
348236	IPR016153	1
348236	IPR016154	1
348238	IPR003399	0.5
348239	IPR007036	0.333333333333333
348240	IPR011991	1
348240	IPR016032	0.666666666666667
348241	IPR010373	1
348242	IPR016196	0.5
348245	IPR008928	1
348246	IPR000601	0.333333333333333
348246	IPR013783	0.333333333333333
348248	IPR003594	1
348248	IPR003661	1
348248	IPR004358	1
348248	IPR005467	1
348248	IPR009082	1
348250	IPR012337	0.8
348255	IPR025961	1
348257	IPR005180	1
348257	IPR016796	1
348264	IPR000194	0.5
348264	IPR005722	0.5
348265	IPR010982	1
348266	IPR011990	1
348270	IPR025272	0.5
348271	IPR007159	1
348273	IPR018702	1
348276	IPR000728	1
348276	IPR006283	0.933333333333333
348276	IPR010918	1
348276	IPR016188	1
348277	IPR006073	1
348279	IPR007436	1
348281	IPR002559	1
348284	IPR021246	1
348285	IPR000326	1
348285	IPR008949	0.5
348285	IPR016118	1
348287	IPR013525	1
348288	IPR005321	1
348288	IPR016117	1
348289	IPR018484	1
348289	IPR018485	1
348290	IPR000905	1
348290	IPR022496	1
348291	IPR001584	0.875
348291	IPR012337	1
348294	IPR009057	1
348294	IPR018060	1
348294	IPR018062	1
348294	IPR020449	1
348299	IPR010380	1
348303	IPR013114	0.5
348308	IPR011990	1
348308	IPR013026	1
348308	IPR019734	1
348309	IPR005502	1
348310	IPR025377	0.5
348311	IPR000421	1
348311	IPR008979	1
348311	IPR009056	1
348311	IPR011429	1
348311	IPR011444	1
348311	IPR022655	1
348316	IPR011652	1
348318	IPR000044	0.4
348319	IPR007560	0.5
348321	IPR009770	1
348329	IPR000086	1
348329	IPR015797	1
348332	IPR011041	1
348332	IPR011042	1
348332	IPR012938	1
348334	IPR004899	1
348334	IPR005546	1
348334	IPR006315	1
348334	IPR011050	1
348334	IPR012332	1
348342	IPR010633	1
348343	IPR007815	1
348345	IPR002559	1
348352	IPR009649	1
348354	IPR021134	1
348355	IPR002048	0.5
348355	IPR011992	1
348355	IPR018247	1
348355	IPR018249	0.5
348357	IPR007489	1
348358	IPR001789	1
348358	IPR003594	1
348358	IPR003660	1
348358	IPR003661	1
348358	IPR004358	1
348358	IPR005467	1
348358	IPR008207	1
