fam_id	num_nonAnnot	num_annotations	total_fam_members	proportion_nonAnnot
347557	0	6	2	0
347558	2	0	2	1
347559	0	5	2	0
347560	7	0	7	1
347561	2	0	2	1
347562	2	0	2	1
347563	0	2	2	0
347564	0	2	2	0
347565	2	0	2	1
347566	0	4	4	0
347567	2	0	2	1
347568	2	0	2	1
347569	3	0	3	1
347570	0	2	2	0
347571	3	0	3	1
347572	1	1	2	0.5
347573	1	1	2	0.5
347574	0	2	2	0
347575	1	1	2	0.5
347576	0	2	2	0
347577	2	0	2	1
347578	0	2	2	0
347579	0	13	2	0
347580	12	0	12	1
347581	1	0	1	1
347582	2	0	2	1
347583	3	0	3	1
347584	0	2	2	0
347585	2	0	2	1
347586	2	0	2	1
347587	2	0	2	1
347588	0	6	2	0
347589	2	0	2	1
347590	2	0	2	1
347591	2	0	2	1
347592	3	0	3	1
347593	1	1	2	0.5
347594	0	3	3	0
347595	2	0	2	1
347596	2	0	2	1
347597	3	0	3	1
347598	1	1	2	0.5
347599	0	6	2	0
347600	2	0	2	1
347601	0	8	4	0
347602	2	0	2	1
347603	0	13	2	0
347604	2	0	2	1
347605	2	0	2	1
347606	0	12	3	0
347607	2	0	2	1
347608	2	0	2	1
347609	2	0	2	1
347610	1	4	3	0.333333333333333
347611	0	4	4	0
347612	0	2	2	0
347613	3	0	3	1
347614	3	0	3	1
347615	1	1	2	0.5
347616	0	6	2	0
347617	0	2	2	0
347618	0	8	2	0
347619	2	0	2	1
347620	2	1	3	0.666666666666667
347621	0	8	2	0
347622	4	0	4	1
347623	0	2	2	0
347624	2	0	2	1
347625	5	1	6	0.833333333333333
347626	2	0	2	1
347627	1	1	2	0.5
347628	2	0	2	1
347629	0	4	2	0
347630	2	0	2	1
347631	0	2	2	0
347632	2	0	2	1
347633	0	4	2	0
347634	0	2	2	0
347635	2	0	2	1
347636	0	12	4	0
347637	2	0	2	1
347638	2	0	2	1
347639	2	4	6	0.333333333333333
347640	0	4	2	0
347641	0	4	2	0
347642	3	0	3	1
347643	2	0	2	1
347644	8	0	8	1
347645	1	4	2	0.5
347646	2	0	2	1
347647	2	0	2	1
347648	0	8	8	0
347649	2	0	2	1
347650	0	5	2	0
347651	1	12	5	0.2
347652	3	0	3	1
347653	2	0	2	1
347654	0	9	3	0
347655	2	0	2	1
347656	2	0	2	1
347657	2	0	2	1
347658	2	0	2	1
347659	4	0	4	1
347660	1	7	4	0.25
347661	2	0	2	1
347662	2	0	2	1
347663	0	16	2	0
347664	0	5	5	0
347665	2	0	2	1
347666	2	0	2	1
347667	1	2	2	0.5
347668	2	0	2	1
347669	3	0	3	1
347670	2	0	2	1
347671	3	0	3	1
347672	2	0	2	1
347673	0	4	4	0
347674	1	1	2	0.5
347675	2	0	2	1
347676	2	0	2	1
347677	0	12	4	0
347678	2	0	2	1
347679	2	0	2	1
347680	3	0	3	1
347681	3	0	3	1
347682	0	4	2	0
347683	0	8	2	0
347684	2	0	2	1
347685	0	4	2	0
347686	2	0	2	1
347687	1	0	1	1
347688	0	5	4	0
347689	2	0	2	1
347690	2	0	2	1
347691	2	0	2	1
347692	0	2	2	0
347693	3	0	3	1
347694	2	0	2	1
347695	0	6	3	0
347696	2	0	2	1
347697	0	2	2	0
347698	2	0	2	1
347699	2	0	2	1
347700	4	0	4	1
347701	5	0	5	1
347702	0	7	3	0
347703	0	4	2	0
347704	0	7	7	0
347705	0	9	2	0
347706	0	2	2	0
347707	1	5	2	0.5
347708	2	0	2	1
347709	0	3	3	0
347710	0	6	2	0
347711	2	0	2	1
347712	2	0	2	1
347713	3	0	3	1
347714	2	0	2	1
347715	2	0	2	1
347716	2	0	2	1
347717	1	4	2	0.5
347718	0	2	2	0
347719	2	0	2	1
347720	4	0	4	1
347721	3	0	3	1
347722	5	0	5	1
347723	0	2	2	0
347724	3	0	3	1
347725	3	1	4	0.75
347726	2	0	2	1
347727	2	0	2	1
347728	3	0	3	1
347729	0	4	2	0
347730	0	45	5	0
347731	0	2	2	0
347732	2	0	2	1
347733	4	0	4	1
347734	2	7	5	0.4
347735	1	4	3	0.333333333333333
347736	0	6	6	0
347737	2	0	2	1
347738	2	0	2	1
347739	2	0	2	1
347740	0	2	2	0
347741	13	0	13	1
347742	1	2	2	0.5
347743	1	0	1	1
347744	3	0	3	1
347745	0	3	2	0
347746	2	0	2	1
347747	0	7	2	0
347748	2	0	2	1
347749	2	0	2	1
347750	2	0	2	1
347751	2	0	2	1
347752	4	0	4	1
347753	0	4	4	0
347754	0	6	2	0
347755	9	4	13	0.692307692307692
347756	7	1	8	0.875
347757	1	6	2	0.5
347758	0	2	2	0
347759	0	15	5	0
347760	3	0	3	1
347761	2	0	2	1
347762	2	0	2	1
347763	5	0	5	1
347764	2	0	2	1
347765	2	0	2	1
347766	2	0	2	1
347767	3	0	3	1
347768	0	2	2	0
347769	5	0	5	1
347770	2	0	2	1
347771	0	6	3	0
347772	2	0	2	1
347773	2	0	2	1
347774	0	6	2	0
347775	5	0	5	1
347776	2	0	2	1
347777	0	20	5	0
347778	2	0	2	1
347779	2	0	2	1
347780	2	0	2	1
347781	0	12	2	0
347782	2	0	2	1
347783	0	2	2	0
347784	2	0	2	1
347785	2	0	2	1
347786	2	0	2	1
347787	0	22	6	0
347788	4	0	4	1
347789	0	2	2	0
347790	2	0	2	1
347791	0	21	3	0
347792	3	0	3	1
347793	0	7	2	0
347794	3	0	3	1
347795	0	4	2	0
347796	2	0	2	1
347797	0	11	11	0
347798	0	9	3	0
347799	4	0	4	1
347800	3	0	3	1
347801	2	0	2	1
347802	2	0	2	1
347803	3	0	3	1
347804	2	0	2	1
347805	2	0	2	1
347806	2	0	2	1
347807	2	0	2	1
347808	2	0	2	1
347809	1	4	5	0.2
347810	3	0	3	1
347811	0	4	2	0
347812	0	8	2	0
347813	7	0	7	1
347814	0	4	2	0
347815	2	0	2	1
347816	2	0	2	1
347817	2	0	2	1
347818	2	0	2	1
347819	2	0	2	1
347820	0	4	2	0
347821	2	0	2	1
347822	2	0	2	1
347823	2	0	2	1
347824	0	8	2	0
347825	0	21	5	0
347826	0	2	2	0
347827	1	37	10	0.1
347828	0	2	2	0
347829	0	4	2	0
347830	0	4	4	0
347831	1	3	2	0.5
347832	2	0	2	1
347833	2	0	2	1
347834	0	18	5	0
347835	2	1	3	0.666666666666667
347836	2	0	2	1
347837	2	0	2	1
347838	2	0	2	1
347839	3	0	3	1
347840	0	6	2	0
347841	2	0	2	1
347842	3	0	3	1
347843	0	4	2	0
347844	3	0	3	1
347845	2	1	3	0.666666666666667
347846	1	2	2	0.5
347847	0	17	6	0
347848	0	2	2	0
347849	0	2	2	0
347850	5	0	5	1
347851	2	0	2	1
347852	0	2	2	0
347853	0	2	2	0
347854	6	0	6	1
347855	0	3	2	0
347856	0	4	3	0
347857	0	4	4	0
347858	0	6	6	0
347859	0	2	2	0
347860	1	1	2	0.5
347861	4	1	5	0.8
347862	0	2	2	0
347863	0	5	2	0
347864	2	12	14	0.142857142857143
347865	2	0	2	1
347866	2	0	2	1
347867	2	0	2	1
347868	2	0	2	1
347869	5	0	5	1
347870	2	0	2	1
347871	8	0	8	1
347872	0	13	3	0
347873	0	17	4	0
347874	0	6	6	0
347875	2	0	2	1
347876	4	0	4	1
347877	2	0	2	1
347878	2	0	2	1
347879	0	12	2	0
347880	2	0	2	1
347881	1	3	2	0.5
347882	1	2	2	0.5
347883	2	0	2	1
347884	2	0	2	1
347885	2	0	2	1
347886	1	1	2	0.5
347887	2	0	2	1
347888	0	6	2	0
347889	2	0	2	1
347890	2	1	3	0.666666666666667
347891	5	0	5	1
347892	5	0	5	1
347893	0	2	2	0
347894	2	0	2	1
347895	5	0	5	1
347896	0	3	2	0
347897	2	0	2	1
347898	0	8	2	0
347899	0	6	3	0
347900	3	0	3	1
347901	2	0	2	1
347902	3	0	3	1
347903	6	2	8	0.75
347904	5	0	5	1
347905	1	2	3	0.333333333333333
347906	0	12	2	0
347907	0	2	2	0
347908	0	2	2	0
347909	3	0	3	1
347910	1	2	2	0.5
347911	2	0	2	1
347912	0	8	4	0
347913	1	3	2	0.5
347914	2	0	2	1
347915	0	2	2	0
347916	8	0	8	1
347917	2	0	2	1
347918	2	0	2	1
347919	0	4	2	0
347920	2	0	2	1
347921	2	0	2	1
347922	5	0	5	1
347923	0	4	3	0
347924	5	0	5	1
347925	2	0	2	1
347926	3	0	3	1
347927	0	4	2	0
347928	3	0	3	1
347929	3	0	3	1
347930	2	0	2	1
347931	3	0	3	1
347932	2	0	2	1
347933	0	4	2	0
347934	2	0	2	1
347935	3	0	3	1
347936	2	0	2	1
347937	2	0	2	1
347938	6	0	6	1
347939	3	0	3	1
347940	2	0	2	1
347941	3	0	3	1
347942	0	15	2	0
347943	0	2	2	0
347944	2	0	2	1
347945	4	0	4	1
347946	2	0	2	1
347947	2	0	2	1
347948	2	0	2	1
347949	2	0	2	1
347950	2	0	2	1
347951	0	6	3	0
347952	0	4	2	0
347953	2	0	2	1
347954	0	6	3	0
347955	3	0	3	1
347956	0	2	2	0
347957	1	6	3	0.333333333333333
347958	0	2	2	0
347959	0	8	2	0
347960	0	7	3	0
347961	2	0	2	1
347962	2	0	2	1
347963	1	1	2	0.5
347964	2	0	2	1
347965	4	0	4	1
347966	0	2	2	0
347967	2	0	2	1
347968	2	0	2	1
347969	0	2	2	0
347970	5	0	5	1
347971	3	0	3	1
347972	0	6	2	0
347973	0	3	3	0
347974	0	2	2	0
347975	8	0	8	1
347976	2	0	2	1
347977	0	3	3	0
347978	3	0	3	1
347979	7	0	7	1
347980	1	2	3	0.333333333333333
347981	0	13	4	0
347982	3	0	3	1
347983	6	0	6	1
347984	1	2	3	0.333333333333333
347985	3	1	4	0.75
347986	0	3	2	0
347987	2	0	2	1
347988	1	1	2	0.5
347989	0	6	2	0
347990	2	0	2	1
347991	0	42	4	0
347992	1	3	2	0.5
347993	2	0	2	1
347994	6	0	6	1
347995	1	1	2	0.5
347996	2	0	2	1
347997	0	44	3	0
347998	0	5	5	0
347999	0	4	2	0
348000	3	1	4	0.75
348001	3	0	3	1
348002	2	0	2	1
348003	3	0	3	1
348004	2	0	2	1
348005	3	0	3	1
348006	2	0	2	1
348007	2	0	2	1
348008	2	0	2	1
348009	2	0	2	1
348010	3	0	3	1
348011	2	2	4	0.5
348012	0	22	4	0
348013	2	0	2	1
348014	4	0	4	1
348015	0	2	2	0
348016	0	4	2	0
348017	4	0	4	1
348018	4	0	4	1
348019	3	0	3	1
348020	2	0	2	1
348021	0	2	2	0
348022	3	0	3	1
348023	2	0	2	1
348024	2	0	2	1
348025	2	0	2	1
348026	0	2	2	0
348027	4	0	4	1
348028	2	0	2	1
348029	0	2	2	0
348030	2	0	2	1
348031	2	0	2	1
348032	2	0	2	1
348033	0	2	2	0
348034	2	0	2	1
348035	0	9	2	0
348036	2	0	2	1
348037	1	1	2	0.5
348038	3	0	3	1
348039	0	2	2	0
348040	0	4	2	0
348041	0	2	2	0
348042	0	4	4	0
348043	0	11	5	0
348044	4	0	4	1
348045	2	0	2	1
348046	2	0	2	1
348047	2	0	2	1
348048	1	3	4	0.25
348049	2	0	2	1
348050	0	4	4	0
348051	2	0	2	1
348052	3	0	3	1
348053	3	0	3	1
348054	2	0	2	1
348055	2	0	2	1
348056	2	0	2	1
348057	2	0	2	1
348058	2	0	2	1
348059	0	9	3	0
348060	6	0	6	1
348061	3	0	3	1
348062	0	9	5	0
348063	2	0	2	1
348064	2	0	2	1
348065	2	0	2	1
348066	1	3	2	0.5
348067	0	6	2	0
348068	0	7	2	0
348069	1	3	2	0.5
348070	3	0	3	1
348071	0	3	2	0
348072	2	0	2	1
348073	2	0	2	1
348074	0	6	3	0
348075	2	0	2	1
348076	2	0	2	1
348077	3	0	3	1
348078	3	0	3	1
348079	0	2	2	0
348080	7	0	7	1
348081	2	0	2	1
348082	2	0	2	1
348083	3	8	4	0.75
348084	0	5	2	0
348085	0	4	4	0
348086	3	0	3	1
348087	2	0	2	1
348088	2	0	2	1
348089	2	0	2	1
348090	3	0	3	1
348091	2	0	2	1
348092	0	5	3	0
348093	0	3	2	0
348094	2	0	2	1
348095	0	5	5	0
348096	0	7	2	0
348097	2	0	2	1
348098	2	0	2	1
348099	2	0	2	1
348100	0	2	2	0
348101	8	0	8	1
348102	0	6	2	0
348103	3	0	3	1
348104	2	0	2	1
348105	0	3	2	0
348106	1	1	2	0.5
348107	0	3	3	0
348108	4	0	4	1
348109	1	1	2	0.5
348110	16	0	16	1
348111	2	0	2	1
348112	2	0	2	1
348113	3	0	3	1
348114	0	11	11	0
348115	2	0	2	1
348116	2	0	2	1
348117	0	10	3	0
348118	2	0	2	1
348119	2	0	2	1
348120	0	2	2	0
348121	2	0	2	1
348122	0	4	4	0
348123	1	1	2	0.5
348124	0	5	5	0
348125	0	2	2	0
348126	2	0	2	1
348127	2	0	2	1
348128	1	1	2	0.5
348129	4	0	4	1
348130	2	0	2	1
348131	24	0	24	1
348132	2	0	2	1
348133	2	0	2	1
348134	4	0	4	1
348135	0	3	3	0
348136	2	0	2	1
348137	0	2	2	0
348138	3	0	3	1
348139	0	2	2	0
348140	0	5	2	0
348141	2	0	2	1
348142	1	1	2	0.5
348143	2	0	2	1
348144	0	4	4	0
348145	3	0	3	1
348146	0	2	2	0
348147	0	4	2	0
348148	2	0	2	1
348149	3	0	3	1
348150	3	0	3	1
348151	0	12	2	0
348152	2	0	2	1
348153	0	2	2	0
348154	3	0	3	1
348155	0	2	2	0
348156	1	2	2	0.5
348157	0	4	2	0
348158	0	14	2	0
348159	0	50	9	0
348160	1	16	4	0.25
348161	0	2	2	0
348162	0	2	2	0
348163	4	0	4	1
348164	0	2	2	0
348165	4	0	4	1
348166	2	0	2	1
348167	13	0	13	1
348168	0	4	4	0
348169	9	0	9	1
348170	0	4	2	0
348171	2	0	2	1
348172	5	0	5	1
348173	2	0	2	1
348174	4	0	4	1
348175	1	1	2	0.5
348176	2	0	2	1
348177	2	0	2	1
348178	0	16	4	0
348179	0	2	2	0
348180	2	0	2	1
348181	3	2	5	0.6
348182	4	0	4	1
348183	0	3	2	0
348184	1	3	2	0.5
348185	0	2	2	0
348186	0	4	2	0
348187	2	0	2	1
348188	8	0	8	1
348189	0	10	3	0
348190	2	0	2	1
348191	2	0	2	1
348192	2	0	2	1
348193	0	2	2	0
348194	1	1	2	0.5
348195	7	0	7	1
348196	2	0	2	1
348197	2	0	2	1
348198	0	2	2	0
348199	0	5	2	0
348200	5	0	5	1
348201	2	0	2	1
348202	2	0	2	1
348203	6	0	6	1
348204	0	2	2	0
348205	2	0	2	1
348206	3	0	3	1
348207	2	0	2	1
348208	0	4	2	0
348209	5	0	5	1
348210	3	0	3	1
348211	2	0	2	1
348212	2	0	2	1
348213	0	5	2	0
348214	2	0	2	1
348215	2	0	2	1
348216	0	8	4	0
348217	2	0	2	1
348218	1	36	19	0.0526315789473684
348219	3	0	3	1
348220	0	2	2	0
348221	2	0	2	1
348222	0	2	2	0
348223	2	0	2	1
348224	0	4	2	0
348225	3	0	3	1
348226	2	0	2	1
348227	0	5	3	0
348228	3	0	3	1
348229	2	0	2	1
348230	0	8	2	0
348231	0	36	10	0
348232	2	0	2	1
348233	2	0	2	1
348234	3	1	4	0.75
348235	2	0	2	1
348236	0	15	5	0
348237	2	0	2	1
348238	1	1	2	0.5
348239	2	1	3	0.666666666666667
348240	0	5	3	0
348241	0	4	4	0
348242	1	1	2	0.5
348243	2	0	2	1
348244	3	0	3	1
348245	0	2	2	0
348246	2	2	3	0.666666666666667
348247	2	0	2	1
348248	0	15	3	0
348249	2	0	2	1
348250	1	4	5	0.2
348251	3	0	3	1
348252	2	0	2	1
348253	2	0	2	1
348254	3	0	3	1
348255	0	2	2	0
348256	2	0	2	1
348257	0	4	2	0
348258	2	0	2	1
348259	2	0	2	1
348260	2	0	2	1
348261	3	0	3	1
348262	2	0	2	1
348263	2	0	2	1
348264	1	2	2	0.5
348265	0	4	4	0
348266	0	2	2	0
348267	2	0	2	1
348268	4	0	4	1
348269	2	0	2	1
348270	1	1	2	0.5
348271	0	2	2	0
348272	2	0	2	1
348273	0	2	2	0
348274	3	0	3	1
348275	2	0	2	1
348276	0	59	15	0
348277	0	5	5	0
348278	3	0	3	1
348279	0	2	2	0
348280	11	0	11	1
348281	0	2	2	0
348282	3	0	3	1
348283	2	0	2	1
348284	0	2	2	0
348285	0	5	2	0
348286	2	0	2	1
348287	0	2	2	0
348288	0	4	2	0
348289	0	32	16	0
348290	0	4	2	0
348291	0	15	8	0
348292	2	0	2	1
348293	6	0	6	1
348294	0	8	2	0
348295	2	0	2	1
348296	2	0	2	1
348297	2	0	2	1
348298	2	0	2	1
348299	0	2	2	0
348300	2	0	2	1
348301	2	0	2	1
348302	13	0	13	1
348303	1	1	2	0.5
348304	2	0	2	1
348305	2	0	2	1
348306	5	0	5	1
348307	2	0	2	1
348308	0	6	2	0
348309	0	2	2	0
348310	1	1	2	0.5
348311	0	12	2	0
348312	2	0	2	1
348313	2	0	2	1
348314	2	0	2	1
348315	2	0	2	1
348316	0	4	4	0
348317	5	0	5	1
348318	3	2	5	0.6
348319	1	1	2	0.5
348320	2	0	2	1
348321	0	2	2	0
348322	2	0	2	1
348323	19	0	19	1
348324	4	0	4	1
348325	2	0	2	1
348326	2	0	2	1
348327	2	0	2	1
348328	2	0	2	1
348329	0	4	2	0
348330	3	0	3	1
348331	3	0	3	1
348332	0	6	2	0
348333	7	0	7	1
348334	0	10	2	0
348335	2	0	2	1
348336	2	0	2	1
348337	2	0	2	1
348338	3	0	3	1
348339	3	0	3	1
348340	2	0	2	1
348341	1	0	1	1
348342	0	2	2	0
348343	0	3	3	0
348344	3	0	3	1
348345	0	3	3	0
348346	2	0	2	1
348347	2	0	2	1
348348	2	0	2	1
348349	2	0	2	1
348350	3	0	3	1
348351	2	0	2	1
348352	0	2	2	0
348353	3	0	3	1
348354	0	3	3	0
348355	0	6	2	0
348356	2	0	2	1
348357	0	2	2	0
348358	0	18	2	0
348359	2	0	2	1
348360	4	0	4	1
348361	2	0	2	1
348362	2	0	2	1
348363	2	0	2	1
348364	2	0	2	1
348365	0	2	2	0
348366	0	15	5	0
348367	4	0	4	1
348368	0	2	2	0
348369	2	0	2	1
348370	1	3	4	0.25
348371	2	0	2	1
348372	0	2	2	0
348373	3	0	3	1
348374	1	10	6	0.166666666666667
348375	1	26	4	0.25
348376	3	0	3	1
348377	1	1	2	0.5
